kalimat,kalimat_token
update nya bagus bagus bgt apalagi tampulannya jadi lebih baru,"['update', 'nya', 'bagus', 'bagus', 'bgt', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
pake aplikasi dulu setiap mau pesan tiket sering gagal tapi diaplikasi sekarang selalu berhasil dna lebih cepet juga tidak lemot,"['pake', 'aplikasi', 'dulu', 'setiap', 'mau', 'pesan', 'tiket', 'sering', 'gagal', 'tapi', 'diaplikasi', 'sekarang', 'selalu', 'berhasil', 'dna', 'lebih', 'cepet', 'juga', 'tidak', 'lemot']"
menjadi tidak simple,"['menjadi', 'tidak', 'simple']"
aplikasinya mempermudah dan bagus,"['aplikasinya', 'mempermudah', 'dan', 'bagus']"
kai pancen oke,"['kai', 'pancen', 'oke']"
aplikasi update terbaru bagus tp saran baikny harga tiket yg sdh habis terjual taruh paling bawah seperti aplikasi sebelumnya supaya gx bingung klu skrang kirain msh ada tiketny ternyata zonk,"['aplikasi', 'update', 'terbaru', 'bagus', 'tp', 'saran', 'baikny', 'harga', 'tiket', 'yg', 'sdh', 'habis', 'terjual', 'taruh', 'paling', 'bawah', 'seperti', 'aplikasi', 'sebelumnya', 'supaya', 'gx', 'bingung', 'klu', 'skrang', 'kirain', 'msh', 'ada', 'tiketny', 'ternyata', 'zonk']"
tampilan ok pemesanan cepat lgsung dapat,"['tampilan', 'ok', 'pemesanan', 'cepat', 'lgsung', 'dapat']"
terlalu bnyak menu semakin lemot aplikasinya,"['terlalu', 'bnyak', 'menu', 'semakin', 'lemot', 'aplikasinya']"
sangat bermanfaat mudah sekali untuk memesan tiket kereta dibanding pake apk tiket online yang lain,"['sangat', 'bermanfaat', 'mudah', 'sekali', 'untuk', 'memesan', 'tiket', 'kereta', 'dibanding', 'pake', 'apk', 'tiket', 'online', 'yang', 'lain']"
bagus nih tampilan enak diliat tapi di gua gak lemot kok tampilannya enteng juga apk nya ga berat,"['bagus', 'nih', 'tampilan', 'enak', 'diliat', 'tapi', 'di', 'gua', 'gak', 'lemot', 'kok', 'tampilannya', 'enteng', 'juga', 'apk', 'nya', 'ga', 'berat']"
setelah update malah makin lancar lemot seblumnya saat masuk ke apk nya lemot bgt sekarnang yg mau bli tiket atau mau bepergian naik kereta jdi mudah apalagi yg mau pergi kerja,"['setelah', 'update', 'malah', 'makin', 'lancar', 'lemot', 'seblumnya', 'saat', 'masuk', 'ke', 'apk', 'nya', 'lemot', 'bgt', 'sekarnang', 'yg', 'mau', 'bli', 'tiket', 'atau', 'mau', 'bepergian', 'naik', 'kereta', 'jdi', 'mudah', 'apalagi', 'yg', 'mau', 'pergi', 'kerja']"
fiturny banyak sepaket lemotnya juga minta ampun,"['fiturny', 'banyak', 'sepaket', 'lemotnya', 'juga', 'minta', 'ampun']"
poin penting review kai access access by kai dari semua yg paling mencolok adalah fitur pemesanan opsi railfood dan layanan lainnya seharusnya tidak perlu masuk biarkan itu dipesan sendiri karena menurut saya jadi tidak efisien saat masa hari raya yang trafic pemesanan tiket padat apalagi jika dikejar waktu kemudian pemilihan kursi tampilan denah kursi terlalu besar sehingga harus scroll lama dan tidak ramah penggunaan begitu kiga dengan opsi gerbong yang ada dibawah seperti itu,"['poin', 'penting', 'review', 'kai', 'access', 'access', 'by', 'kai', 'dari', 'semua', 'yg', 'paling', 'mencolok', 'adalah', 'fitur', 'pemesanan', 'opsi', 'railfood', 'dan', 'layanan', 'lainnya', 'seharusnya', 'tidak', 'perlu', 'masuk', 'biarkan', 'itu', 'dipesan', 'sendiri', 'karena', 'menurut', 'saya', 'jadi', 'tidak', 'efisien', 'saat', 'masa', 'hari', 'raya', 'yang', 'trafic', 'pemesanan', 'tiket', 'padat', 'apalagi', 'jika', 'dikejar', 'waktu', 'kemudian', 'pemilihan', 'kursi', 'tampilan', 'denah', 'kursi', 'terlalu', 'besar', 'sehingga', 'harus', 'scroll', 'lama', 'dan', 'tidak', 'ramah', 'penggunaan', 'begitu', 'kiga', 'dengan', 'opsi', 'gerbong', 'yang', 'ada', 'dibawah', 'seperti', 'itu']"
sejak diupdate malah makin mudah aplikasinya ga lemot lagi mudah sekali ketika cek tiket dan ketika menyelesaikan step by step setelah isi data penumpang update terbaru ini sangat membantu saya puas,"['sejak', 'diupdate', 'malah', 'makin', 'mudah', 'aplikasinya', 'ga', 'lemot', 'lagi', 'mudah', 'sekali', 'ketika', 'cek', 'tiket', 'dan', 'ketika', 'menyelesaikan', 'step', 'by', 'step', 'setelah', 'isi', 'data', 'penumpang', 'update', 'terbaru', 'ini', 'sangat', 'membantu', 'saya', 'puas']"
setelah update malah makin lancar lemot seblumnya saat masuk ke apk nya lemot bgt sekarnang yg mau bli tiket atau mau bepergian naik kereta jdi mudah apalagi yg mau pergi kerja,"['setelah', 'update', 'malah', 'makin', 'lancar', 'lemot', 'seblumnya', 'saat', 'masuk', 'ke', 'apk', 'nya', 'lemot', 'bgt', 'sekarnang', 'yg', 'mau', 'bli', 'tiket', 'atau', 'mau', 'bepergian', 'naik', 'kereta', 'jdi', 'mudah', 'apalagi', 'yg', 'mau', 'pergi', 'kerja']"
tolong ini aplikasi nya banyak banget gangguannya please fix,"['tolong', 'ini', 'aplikasi', 'nya', 'banyak', 'banget', 'gangguannya', 'please', 'fix']"
setelah update yang terbaru tampilan oke kualitasnya juga bagus banget load pas buka appnya juga ga lama pas mau ke pembayaran juga lancar banget pembayarannya dapat dilakukan dengan mudah ini nih aplikasi yang kita butuhkan cepet simple dan mudah,"['setelah', 'update', 'yang', 'terbaru', 'tampilan', 'oke', 'kualitasnya', 'juga', 'bagus', 'banget', 'load', 'pas', 'buka', 'appnya', 'juga', 'ga', 'lama', 'pas', 'mau', 'ke', 'pembayaran', 'juga', 'lancar', 'banget', 'pembayarannya', 'dapat', 'dilakukan', 'dengan', 'mudah', 'ini', 'nih', 'aplikasi', 'yang', 'kita', 'butuhkan', 'cepet', 'simple', 'dan', 'mudah']"
darisegi perfroma lbh baik dari versi seblmunya suka bgt sama tampilan barunya,"['darisegi', 'perfroma', 'lbh', 'baik', 'dari', 'versi', 'seblmunya', 'suka', 'bgt', 'sama', 'tampilan', 'barunya']"
mau masuk lancar bgt proses ke pembayaran juga lancar sampai sampai waktu pembayaran hanya butuh waktu yang cepet ga lama ini aplikasi super lancar dari segalanya,"['mau', 'masuk', 'lancar', 'bgt', 'proses', 'ke', 'pembayaran', 'juga', 'lancar', 'sampai', 'sampai', 'waktu', 'pembayaran', 'hanya', 'butuh', 'waktu', 'yang', 'cepet', 'ga', 'lama', 'ini', 'aplikasi', 'super', 'lancar', 'dari', 'segalanya']"
di update malah lancar bangettt yg dulu rada lemot soal ny buat pesen tiket bayrnya lbh mudah skrang,"['di', 'update', 'malah', 'lancar', 'bangettt', 'yg', 'dulu', 'rada', 'lemot', 'soal', 'ny', 'buat', 'pesen', 'tiket', 'bayrnya', 'lbh', 'mudah', 'skrang']"
yang baru lucu tapi lemot parah,"['yang', 'baru', 'lucu', 'tapi', 'lemot', 'parah']"
update nya bagus bagus bgt apalagi tampulannya jadi lebih baru,"['update', 'nya', 'bagus', 'bagus', 'bgt', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
kesulitan untuk pembayaran via qris padahal aplikasi sebelum di update aman tanpa kendala error,"['kesulitan', 'untuk', 'pembayaran', 'via', 'qris', 'padahal', 'aplikasi', 'sebelum', 'di', 'update', 'aman', 'tanpa', 'kendala', 'error']"
tampilan baru kirain aplikasi tambah bagus eh ternyata makin jelek ga bisa login lagi katanya idnum already exist kalo kayak gini gimana mau pesan tiketnya lagi jadi ga guna aplikasinya,"['tampilan', 'baru', 'kirain', 'aplikasi', 'tambah', 'bagus', 'eh', 'ternyata', 'makin', 'jelek', 'ga', 'bisa', 'login', 'lagi', 'katanya', 'idnum', 'already', 'exist', 'kalo', 'kayak', 'gini', 'gimana', 'mau', 'pesan', 'tiketnya', 'lagi', 'jadi', 'ga', 'guna', 'aplikasinya']"
semejak update pesen tiket kreta loadingnya lama banget parahhhh jadi ketinggalan kreta gara gara mau pesen tiket tapi loadingnya gila lama banget kecewaaaa,"['semejak', 'update', 'pesen', 'tiket', 'kreta', 'loadingnya', 'lama', 'banget', 'parahhhh', 'jadi', 'ketinggalan', 'kreta', 'gara', 'gara', 'mau', 'pesen', 'tiket', 'tapi', 'loadingnya', 'gila', 'lama', 'banget', 'kecewaaaa']"
bagus benr bagus baik performa tampilan,"['bagus', 'benr', 'bagus', 'baik', 'performa', 'tampilan']"
abis tak update tampikan baru malah makin bagus dan jadi makin lancar mw cari tiket juga gampang,"['abis', 'tak', 'update', 'tampikan', 'baru', 'malah', 'makin', 'bagus', 'dan', 'jadi', 'makin', 'lancar', 'mw', 'cari', 'tiket', 'juga', 'gampang']"
baru buka apk aja kok udh lemot ya padhal udh di upgrade,"['baru', 'buka', 'apk', 'aja', 'kok', 'udh', 'lemot', 'ya', 'padhal', 'udh', 'di', 'upgrade']"
jd males pkenya setelah update ga bisa msuk loading terus jd ribet mu msen tiket ge,"['jd', 'males', 'pkenya', 'setelah', 'update', 'ga', 'bisa', 'msuk', 'loading', 'terus', 'jd', 'ribet', 'mu', 'msen', 'tiket', 'ge']"
saya senang dengan pembaruan aplikasi ini karena di aplikasi kai accesa saat ini saya bisa melakukan update no hp karena di aplikasi sebelumnya tidak bisa dan sering gagal di tambah fitur terbaru nya yg sangat membantu pengguna nya buat performanya juga makin canggih dan makin cepet,"['saya', 'senang', 'dengan', 'pembaruan', 'aplikasi', 'ini', 'karena', 'di', 'aplikasi', 'kai', 'accesa', 'saat', 'ini', 'saya', 'bisa', 'melakukan', 'update', 'no', 'hp', 'karena', 'di', 'aplikasi', 'sebelumnya', 'tidak', 'bisa', 'dan', 'sering', 'gagal', 'di', 'tambah', 'fitur', 'terbaru', 'nya', 'yg', 'sangat', 'membantu', 'pengguna', 'nya', 'buat', 'performanya', 'juga', 'makin', 'canggih', 'dan', 'makin', 'cepet']"
update nya bagus bagus bgt apalagi tampulannya jadi lebih baru,"['update', 'nya', 'bagus', 'bagus', 'bgt', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
aplikasinya update sendiri tp setelah ter update tidak bisa lagi melihat jadwal kereta,"['aplikasinya', 'update', 'sendiri', 'tp', 'setelah', 'ter', 'update', 'tidak', 'bisa', 'lagi', 'melihat', 'jadwal', 'kereta']"
baru tau kai access ada pembaruan pas mau pesen tiket aplikasinya lancar banget,"['baru', 'tau', 'kai', 'access', 'ada', 'pembaruan', 'pas', 'mau', 'pesen', 'tiket', 'aplikasinya', 'lancar', 'banget']"
tampilan yg semakin memudahkan,"['tampilan', 'yg', 'semakin', 'memudahkan']"
cepat senyap simpel joooooooozzz berangkat,"['cepat', 'senyap', 'simpel', 'joooooooozzz', 'berangkat']"
udah satu jam lebih beli tiket tapi muter trus loding kalo loding pembayaran nya jangan kasih waktu ulang lagi ulang lagi waktu kadaluarsa karena loding,"['udah', 'satu', 'jam', 'lebih', 'beli', 'tiket', 'tapi', 'muter', 'trus', 'loding', 'kalo', 'loding', 'pembayaran', 'nya', 'jangan', 'kasih', 'waktu', 'ulang', 'lagi', 'ulang', 'lagi', 'waktu', 'kadaluarsa', 'karena', 'loding']"
poin penting review kai access access by kai dari semua yg paling mencolok adalah fitur pemesanan opsi railfood dan layanan lainnya seharusnya tidak perlu masuk biarkan itu dipesan sendiri karena menurut saya jadi tidak efisien saat masa hari raya yang trafic pemesanan tiket padat apalagi jika dikejar waktu kemudian pemilihan kursi tampilan denah kursi terlalu besar sehingga harus scroll lama dan tidak ramah penggunaan begitu kiga dengan opsi gerbong yang ada dibawah seperti itu,"['poin', 'penting', 'review', 'kai', 'access', 'access', 'by', 'kai', 'dari', 'semua', 'yg', 'paling', 'mencolok', 'adalah', 'fitur', 'pemesanan', 'opsi', 'railfood', 'dan', 'layanan', 'lainnya', 'seharusnya', 'tidak', 'perlu', 'masuk', 'biarkan', 'itu', 'dipesan', 'sendiri', 'karena', 'menurut', 'saya', 'jadi', 'tidak', 'efisien', 'saat', 'masa', 'hari', 'raya', 'yang', 'trafic', 'pemesanan', 'tiket', 'padat', 'apalagi', 'jika', 'dikejar', 'waktu', 'kemudian', 'pemilihan', 'kursi', 'tampilan', 'denah', 'kursi', 'terlalu', 'besar', 'sehingga', 'harus', 'scroll', 'lama', 'dan', 'tidak', 'ramah', 'penggunaan', 'begitu', 'kiga', 'dengan', 'opsi', 'gerbong', 'yang', 'ada', 'dibawah', 'seperti', 'itu']"
kini versi terbaru access by kai jauh lebih baik daripada versi sebelumnya lebih modern dan colorful saran saya tambahkan beberapa fitur lain dan perbaiki beberapa bug yang masih ada maju terus kai,"['kini', 'versi', 'terbaru', 'access', 'by', 'kai', 'jauh', 'lebih', 'baik', 'daripada', 'versi', 'sebelumnya', 'lebih', 'modern', 'dan', 'colorful', 'saran', 'saya', 'tambahkan', 'beberapa', 'fitur', 'lain', 'dan', 'perbaiki', 'beberapa', 'bug', 'yang', 'masih', 'ada', 'maju', 'terus', 'kai']"
dari segi tampilan udah oke tapi udah nyaman sama versi lama dan lebih satset tiap pembelian kerta kajj versi baru pendingnya lumayan lama,"['dari', 'segi', 'tampilan', 'udah', 'oke', 'tapi', 'udah', 'nyaman', 'sama', 'versi', 'lama', 'dan', 'lebih', 'satset', 'tiap', 'pembelian', 'kerta', 'kajj', 'versi', 'baru', 'pendingnya', 'lumayan', 'lama']"
ternyata tidak sepenuhnya memudahkan proses boarding tetap diminta ktp untuk pengecekan apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek ktp aplikasi tidak berguna tambahan tampilan juga bikin ribet kalo mau pilih kereta beda dengan aplikasi sebelumnya jadi menyesal upgrade ke access kai,"['ternyata', 'tidak', 'sepenuhnya', 'memudahkan', 'proses', 'boarding', 'tetap', 'diminta', 'ktp', 'untuk', 'pengecekan', 'apa', 'gunanya', 'kita', 'mengisi', 'data', 'pribadi', 'saat', 'buat', 'akun', 'kalo', 'hanya', 'bikin', 'ribet', 'cek', 'ktp', 'aplikasi', 'tidak', 'berguna', 'tambahan', 'tampilan', 'juga', 'bikin', 'ribet', 'kalo', 'mau', 'pilih', 'kereta', 'beda', 'dengan', 'aplikasi', 'sebelumnya', 'jadi', 'menyesal', 'upgrade', 'ke', 'access', 'kai']"
bikin aplikasi kok sampai bisa di akses eror sampai hampir bisa dapat tiket di aplikasi gara eror akhirnya ya manual di stasiun,"['bikin', 'aplikasi', 'kok', 'sampai', 'bisa', 'di', 'akses', 'eror', 'sampai', 'hampir', 'bisa', 'dapat', 'tiket', 'di', 'aplikasi', 'gara', 'eror', 'akhirnya', 'ya', 'manual', 'di', 'stasiun']"
setelah di upgrade jd susah mesen tiketnya sering pesan dengan metode pembayaran link aja pdhl di hp udah terpasang aplikasinya tp disuruh download,"['setelah', 'di', 'upgrade', 'jd', 'susah', 'mesen', 'tiketnya', 'sering', 'pesan', 'dengan', 'metode', 'pembayaran', 'link', 'aja', 'pdhl', 'di', 'hp', 'udah', 'terpasang', 'aplikasinya', 'tp', 'disuruh', 'download']"
jadi ga ramah tampilan user interface nya,"['jadi', 'ga', 'ramah', 'tampilan', 'user', 'interface', 'nya']"
semenjak aplikasinya update jadi makin lemot hadehh,"['semenjak', 'aplikasinya', 'update', 'jadi', 'makin', 'lemot', 'hadehh']"
saya pelanggan setia kai merasa paus dengan versi terbaruny memudahkan dlm segala hal pesan tiket mudah cek tiket kereta mudah bayrnya mudah fitur tambahan yng juga berguna bagi saya salutnya dg tambahan fitur yg banyak tpai masih lancar terus ga lemot lemot,"['saya', 'pelanggan', 'setia', 'kai', 'merasa', 'paus', 'dengan', 'versi', 'terbaruny', 'memudahkan', 'dlm', 'segala', 'hal', 'pesan', 'tiket', 'mudah', 'cek', 'tiket', 'kereta', 'mudah', 'bayrnya', 'mudah', 'fitur', 'tambahan', 'yng', 'juga', 'berguna', 'bagi', 'saya', 'salutnya', 'dg', 'tambahan', 'fitur', 'yg', 'banyak', 'tpai', 'masih', 'lancar', 'terus', 'ga', 'lemot', 'lemot']"
sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket jadi sangat mudah bgt lacar jg,"['sudah', 'byk', 'plusnya', 'daripada', 'yang', 'lama', 'metode', 'pembayaran', 'jg', 'banyk', 'beli', 'tiket', 'jadi', 'sangat', 'mudah', 'bgt', 'lacar', 'jg']"
tampilan memang bagus setelah di update tetapi kulitas aplikasi lebih baik versi sebelumnya,"['tampilan', 'memang', 'bagus', 'setelah', 'di', 'update', 'tetapi', 'kulitas', 'aplikasi', 'lebih', 'baik', 'versi', 'sebelumnya']"
diupgrade malah tambah lancar dari proses login sampe pambayran tiket,"['diupgrade', 'malah', 'tambah', 'lancar', 'dari', 'proses', 'login', 'sampe', 'pambayran', 'tiket']"
biasanya lemot poll tapi setelah update malah lancar teros,"['biasanya', 'lemot', 'poll', 'tapi', 'setelah', 'update', 'malah', 'lancar', 'teros']"
saat ini apk nya malah jadi kurang membantu detail kendala loadingnya lama sekali saat mau cek jadwal commuter line susah sekali mencari nama stasiun memakan banyak waktu loading namun hasil pencarian malah tidak keluar,"['saat', 'ini', 'apk', 'nya', 'malah', 'jadi', 'kurang', 'membantu', 'detail', 'kendala', 'loadingnya', 'lama', 'sekali', 'saat', 'mau', 'cek', 'jadwal', 'commuter', 'line', 'susah', 'sekali', 'mencari', 'nama', 'stasiun', 'memakan', 'banyak', 'waktu', 'loading', 'namun', 'hasil', 'pencarian', 'malah', 'tidak', 'keluar']"
bagus lancar,"['bagus', 'lancar']"
untuk update aplikasi nya lancar bangett tapi lebih enak dilihat yang dulu tampilan menu aplikasinya,"['untuk', 'update', 'aplikasi', 'nya', 'lancar', 'bangett', 'tapi', 'lebih', 'enak', 'dilihat', 'yang', 'dulu', 'tampilan', 'menu', 'aplikasinya']"
parah enak versi dulu dulu gabingung mau liat tiket yang udah dipesan dimana sekarang kebanyakan printilan yang ga guna banget sumpahhhh,"['parah', 'enak', 'versi', 'dulu', 'dulu', 'gabingung', 'mau', 'liat', 'tiket', 'yang', 'udah', 'dipesan', 'dimana', 'sekarang', 'kebanyakan', 'printilan', 'yang', 'ga', 'guna', 'banget', 'sumpahhhh']"
sangat tidak ramah untuk penggunaan pembelian tiket harusnya cuman isi data diri pilih kursi langsung bayar sekarang ada pembelian makanan tiket transportasi dll sangat menganggu proses transaksi harusnya di pisah dari tools utama yaitu pembelian tiket jangan di selipi untuk pesan makanan maupun akomodasi transportasi terimakasih,"['sangat', 'tidak', 'ramah', 'untuk', 'penggunaan', 'pembelian', 'tiket', 'harusnya', 'cuman', 'isi', 'data', 'diri', 'pilih', 'kursi', 'langsung', 'bayar', 'sekarang', 'ada', 'pembelian', 'makanan', 'tiket', 'transportasi', 'dll', 'sangat', 'menganggu', 'proses', 'transaksi', 'harusnya', 'di', 'pisah', 'dari', 'tools', 'utama', 'yaitu', 'pembelian', 'tiket', 'jangan', 'di', 'selipi', 'untuk', 'pesan', 'makanan', 'maupun', 'akomodasi', 'transportasi', 'terimakasih']"
mudah lancar pembayarannya yg tdk punya atm bisa melalui indomart alfamart mantap,"['mudah', 'lancar', 'pembayarannya', 'yg', 'tdk', 'punya', 'atm', 'bisa', 'melalui', 'indomart', 'alfamart', 'mantap']"
lancar banget mau melakukan pembayaran juga gamapng,"['lancar', 'banget', 'mau', 'melakukan', 'pembayaran', 'juga', 'gamapng']"
lebih mudah untuk pemesanan tiket,"['lebih', 'mudah', 'untuk', 'pemesanan', 'tiket']"
the best,"['the', 'best']"
tampilan baru bukan lebih mempermudah tapi lebih mempersulit kasian kalo orang awam untuk melakukan pemesanan lewat apk kai access,"['tampilan', 'baru', 'bukan', 'lebih', 'mempermudah', 'tapi', 'lebih', 'mempersulit', 'kasian', 'kalo', 'orang', 'awam', 'untuk', 'melakukan', 'pemesanan', 'lewat', 'apk', 'kai', 'access']"
iya sih makin lancar tapi aplikasi yang baru tidak efektif dalam pemilihan kursi tampilan kursi mending di aplikasi yang lama lebih efektif dan efisien,"['iya', 'sih', 'makin', 'lancar', 'tapi', 'aplikasi', 'yang', 'baru', 'tidak', 'efektif', 'dalam', 'pemilihan', 'kursi', 'tampilan', 'kursi', 'mending', 'di', 'aplikasi', 'yang', 'lama', 'lebih', 'efektif', 'dan', 'efisien']"
cukup membantu dalam mencari informasi mengenai jadwal ka dan promo,"['cukup', 'membantu', 'dalam', 'mencari', 'informasi', 'mengenai', 'jadwal', 'ka', 'dan', 'promo']"
makin di upgrade makin lancar pesen tiket juga makin mudah tapilan nya juga lebih mordern suka bgt lebih fress,"['makin', 'di', 'upgrade', 'makin', 'lancar', 'pesen', 'tiket', 'juga', 'makin', 'mudah', 'tapilan', 'nya', 'juga', 'lebih', 'mordern', 'suka', 'bgt', 'lebih', 'fress']"
makin di upgrade makin lancar pesen tiket juga makin mudah tapilan nya juga lebih mordern suka bgt lebih fress,"['makin', 'di', 'upgrade', 'makin', 'lancar', 'pesen', 'tiket', 'juga', 'makin', 'mudah', 'tapilan', 'nya', 'juga', 'lebih', 'mordern', 'suka', 'bgt', 'lebih', 'fress']"
untuk proses pemesanan tiket lokal cepat banget utk pembayaran ovo juga mudah,"['untuk', 'proses', 'pemesanan', 'tiket', 'lokal', 'cepat', 'banget', 'utk', 'pembayaran', 'ovo', 'juga', 'mudah']"
ini setelah update kenapa aplikasi nya jadi lemot banget min bahkan logout sendiri pas mau masuk jdi gk bisa masuk keterangan nya failed request padahal udah biasa dulu pake kai acces tolong donk klo memang harus pake aplikasi aplikasinya yaa di bikin simpel dan mudah akses nya jangan jadi malah susah gini,"['ini', 'setelah', 'update', 'kenapa', 'aplikasi', 'nya', 'jadi', 'lemot', 'banget', 'min', 'bahkan', 'logout', 'sendiri', 'pas', 'mau', 'masuk', 'jdi', 'gk', 'bisa', 'masuk', 'keterangan', 'nya', 'failed', 'request', 'padahal', 'udah', 'biasa', 'dulu', 'pake', 'kai', 'acces', 'tolong', 'donk', 'klo', 'memang', 'harus', 'pake', 'aplikasi', 'aplikasinya', 'yaa', 'di', 'bikin', 'simpel', 'dan', 'mudah', 'akses', 'nya', 'jangan', 'jadi', 'malah', 'susah', 'gini']"
udah bisapake qris di kai access aya suka dengan pembayaran qris jadi lebih simpel ditambah uga aplikasinya makin satset,"['udah', 'bisapake', 'qris', 'di', 'kai', 'access', 'aya', 'suka', 'dengan', 'pembayaran', 'qris', 'jadi', 'lebih', 'simpel', 'ditambah', 'uga', 'aplikasinya', 'makin', 'satset']"
setelah di upgrade malah jadi lancar aplikasi nya buka jadwal pembayaran malah jadi lebih cepet,"['setelah', 'di', 'upgrade', 'malah', 'jadi', 'lancar', 'aplikasi', 'nya', 'buka', 'jadwal', 'pembayaran', 'malah', 'jadi', 'lebih', 'cepet']"
sudah update jadi makin bagus malah jadi semakin memudahkan saat pembayaran menggunakan wallet jadi mudah sekali lebih bagus dripada kai access versi lama,"['sudah', 'update', 'jadi', 'makin', 'bagus', 'malah', 'jadi', 'semakin', 'memudahkan', 'saat', 'pembayaran', 'menggunakan', 'wallet', 'jadi', 'mudah', 'sekali', 'lebih', 'bagus', 'dripada', 'kai', 'access', 'versi', 'lama']"
