,kalimat
301,Jelek. benar-benar jelek. saya sampai enggak bisa kerja tetap waktu karena sulitnya pesan tiket dari aplikasi ini. mending kembalikan ke yang sebelumnya. enggak ribet. Yang ini memuatnya bikin darah tinggi.
211,"Bagus, setelah memperbarui aplikasinya jadi lebih stabil dan tampilannya yang efisien"
501,"fiturnya lebih ribet & membingungkan. lebih simpel aplikasi sebelumnya., DY (tm)"
238,"KAI memperbarui otomatis di telepon seluler saya selatah saya buka dan coba versi barunya memang lebih pengguna ramah, saya juga langsung pesan tiket untuk kebernangkatan ke Surabaya dengan komuterline wah dari pencarian, pemesanan dan bayarnya mudah banget lancar. Suwun kai"
409,"Sudah makin lancar enggak lambat lagi, tetapi tampilan masih enak dahulu. Tampilan sekarang kayak pelangi, perpaduan warna kurang cocok"
394,"Saya beli tiket 1 tetapi kok bayarnya dobel? Saya isi saldo Kai pay 30 ribu, harga tiket kereta api lokal 12.000, saya beli tiket untuk 1 orang saja. kok tiba-tiba saldo saya tinggal 6.000? Kok pembayaran bisa dobel begitu, tolong pihak KAI kejelasaannya"
305,"Tambah lambat, Fitur tambah tetapi sistem enggak mendukung"
76,"enakan yang sekarang aplikasinya lancar enggak lambat, tampilan lebih kelihatan segar enggak membosankan"
277,baru tahu Kai Access ada pembaruan. pas mau pesan tiket aplikasinya lancar banget
212,Aplikasi terbaru otomatis. Tampilannya sekarang tambah ribet dan bikin bingung. Lebih simpel tampilan yang lama. Seharusnya kalau memang ada perbarui lebih mempermudah. ini malah sebaliknya.
310,"Untuk proses pemesanan tiket lokal cepat banget, untuk pembayaran OVO juga mudah"
148,"Mudah, lancar pembayarannya. yang tidak punya ATM, bisa melalui Indomaret, Alfamart. Mantap"
268,"Setelah memperbarui yang terbaru tampilan oke, kualitasnya juga bagus banget. Memuat pas buka aplikasinya juga enggak lama, pas mau ke pembayaran juga lancar banget, pembayarannya dapat dilakukan dengan mudah. Ini nih aplikasi yang kita butuhkan cepat, simpel, dan mudah."
383,Tampilan baru malah makin buruk.
304,"Mudah, lancar pembayarannya. yang tidak punya ATM, bisa melalui Indomaret, Alfamart. Mantap"
552,Sejak diperbarui makin garibet. Pesan tiket jadi saat set. enggak lambat. lebih mudah beli tiket di aplikasi sekarang. Ha. lebih baik daripada sebelumnya. Terima kasih
274,"Fitur lebih banyak dan tampilan lebih bagus tetapi sayang lambat minta ampun, untuk memilih tempat duduk lama sekali, pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out, akhirnya jadi enggak dapat tiket, padahal ini untuk perjalanan mendadak. Beda jauh dengan waktu aplikasi yang lama, saat set bisa cepat enggak memuat terus."
10,"Bagus nih, tampilan enak dilihat, tetapi di gua enggak lambat kok tampilannya, enteng juga aplikasinya enggak berat"
404,"Versi baru lebih enggak lambat. Memuatnya enggak pakai lama buat akses masuk aplikasinya, pindah ""menu juga lemot"
109,Jadi malas pakainya setelah pembaruan enggak bisa masuk memuat terus jadi ribetmu masih tiket gedY 'Z
131,Iya sih makin lancar tetapi aplikasi yang baru tidak efektif dalam pemilihan kursi. Tampilan kursi mending di aplikasi yang lama lebih efektif dan efisien
196,"Aplikasi lebih ringan, dan mudah untuk digunakan, juga penambahan fiturnya lengkap"
542,Sudah satu jam lebih beli tiket tetapi berputar terus memuat. Kalau memuat pembayarannya jangan kasih waktu. ulang lagi ulang lagi waktu kedaluwarsa karena memuat
30,"Woi admin kembalikan ke aplikasi lamalah. lama banget aplikasi perbaruan baru. Setelah memperbarui malah makin tidak pengguna ramah, filter hanya ada 1 pilihan (dahulu bisa oleh waktu, harga, dan kelas), pilih kursi juga harus gulir atas bawah (dahulu 1 layar tampak semua), aduh bukannya makin maju"
571,Dari segi tampilan sudah oke tetapi sudah nyaman sama versi lama dan lebih satset tiap pembelian kerta kaja versi baru tertundanya lumayan lama
82,"Woi admin kembalikan ke aplikasi lamalah. lama banget aplikasi perbaruan baru. Setelah memperbarui malah makin tidak pengguna ramah, filter hanya ada 1 pilihan (dahulu bisa oleh waktu, harga, dan kelas), pilih kursi juga harus gulir atas bawah (dahulu 1 layar tampak semua), aduh bukannya makin maju"
612,"Fitur menjadi lengkap namun sangat sulit untuk mengoprasikan. Fitur jadi tambah ribet enggak efisien, masih enak aplikasi sebelum perbarui. Enggak ada fitur filter nama kereta, tampilan jadi buruk banget, lemot banget, jadi enggak fokus aplikasi khusus KAI."
528,"fiturnya lebih ribet & membingungkan. lebih simpel aplikasi sebelumnya., DY (tm)"
580,"Izin menyampaikan kendala saat saya melakukan pendaftaran anggota, tepatnya setelah mendapatkan kode saya menekan tombol lanjutkan tetapi malah enggak bisa, saya pikir masalah sinyal tetapi tetap enggak bisa alhasil saya susah buat beli tiket karena harus daftar anggota terlebih dahulu"
469,"Fitur KAI pay ada penipuan karena tetapi tidak berfungsi apa apa, tidak bisa untuk pembayaran penipuan karena. Saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan di situ, sisa dari pembelian tiket."
199,Diperbarui bukannya makin bagus malah makin buruk. Tidak sesuai simpel praktis dahulu. Banyak iklan.
56,Iya sih makin lancar tetapi aplikasi yang baru tidak efektif dalam pemilihan kursi. Tampilan kursi mending di aplikasi yang lama lebih efektif dan efisien
335,"Otomatis terbaru, versi baru memudahkan, lebih lancar. Mau pesan tiket jadi mudah ke arena saya PP kerja naik komputer"
439,"pecat UI / UX desainernya sumpah! UI bagus tetapi UX jelek, UI / UX desainernya enggak usah mengide deh modal baguskan tampilan tetapi pengguna Journey enggak diperhatikan makin ribet, belajar lagi UI / UX-nya :v"
292,"Lemot banget banget, setiap mau buka memuatnya lama padahal jaringan sudah bangus terus aplikasinya harus ditingkatkan. Setiap mau buka harus masukkan OTP-nya entah lewat surel / SMS, padahal sebelumnya pernah kasih OTP,"
611,"Coba dihilangkan saja fitur yang enggak mengerti sama KAI kayak beli paket data, pulsa dan token listrik biar aplikasi ini makin efisien dan mengurangi beban peladen juga sehingga enggak kelebihan ketika lagi banyak yang mengakses atau war tiket."
24,Solusi pembelian tiket kereta api yang mudah
77,"Lambat banget si habis meningkatkan tetapi kualitas malah unduh, bolak-balik pemesanan tinggal bayar saja lemotnya masyaallah. Mau apa sih"
488,"Semenjak perbarui aplikasi sudah enggak lambat, tetapi tampilan membingungkan. Kereta yang penuh masih muncul untungnya pesan tiket sama bayarnya aman dan gampang banget."
260,"Pembaruannya bagus, bagus banget, apalagi tampulannya jadi lebih baru"
588,"kalau segalanya mau daring harusnya aplikasinya disiapkan dahulu sampai mateng jauh dari eror, lemot, ini aplikasinya saja belum optimal banyak eror, susah masuk, lemot kok sudah main harus beli daring saja kasihan orang yang mau naik kereta dibikin ribet enggak jelas, bumn kerjanya kok begini"
464,"Lemot, sudah bayar tiket, tetapi enggak muncul"
70,"Untuk proses pemesanan tiket lokal cepat banget, untuk pembayaran OVO juga mudah"
497,"Aplikasi ini kerend $? (sih) Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian, Semangat Sahabat KAIdY? (si)"
140,"Izin menyampaikan kendala saat saya melakukan pendaftaran anggota, tepatnya setelah mendapatkan kode saya menekan tombol lanjutkan tetapi malah enggak bisa, saya pikir masalah sinyal tetapi tetap enggak bisa alhasil saya susah buat beli tiket karena harus daftar anggota terlebih dahulu"
60,Menjadi Tidak Simpel.
215,Terlalu banyak menu semakin lambat aplikasinya.
432,"Pembaruannya bagus, bagus banget, apalagi tampulannya jadi lebih baru"
426,"saran untuk para pengurus di KAI. ini zaman sudah modern segala hal digital sudah serba cepat. ini masa saya batal kan tiket, pengembalian dananya menunggu 30 - 45 hari? sekalian saja setahun baru transfer dananya."
586,"Semenjak pembaruan sudah tidak eror, lagi pulas ulang responsif, lancar. suka juga sama fitur-fitur tambahannya jadi aplikasi yang lebih multifungsi"
118,"Fitur lebih banyak dan tampilan lebih bagus tetapi sayang lambat minta ampun, untuk memilih tempat duduk lama sekali, pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out, akhirnya jadi enggak dapat tiket, padahal ini untuk perjalanan mendadak. Beda jauh dengan waktu aplikasi yang lama, saat set bisa cepat enggak memuat terus."
90,Sangat bermanfaat mudah sekali untuk memesan tiket kereta dibanding pakai aplikasi tiket daring yang lain
423,Jadi enggak ramah tampilan pengguna barunya
29,"sudah perbarui, ui yang baru tetapi kualitas makin buruk. Mau lihat jadwal kerlu dari jalur rangkas - tanah abang saja enggak bisa"
328,tampilan oke pemesanan cepat langsung dapat
381,"Aplikasinya sekarang sudah tidak sering eror, jadi waktu mau memesan tiket selalu lancar tidak kehabisan waktu, pembayarannya juga mudah dengan menggunakan qris"
380,"Versi baru memang lebih menarik dengan tanpilan dan fitur baru, saya pesan tiket enggak usah dapat enggak ada lagi tuh macet lambat semua lancar-lancar saja. kalau saya suka dengan pembayaran qrisnya lebih simel"
177,"Di Update Bukannya Makin Bagus, malah makin burik"
286,"Secara pengguna interfas lebih baik yang sebelumnya, mungkin ya memang lebih terkesan modern atau bagus dipandang. Namun sedikit saran untuk bagian pemilihan tiket apabila semua tiket pada kategori tersebut habis makan seharusnya otomatis turun atau pindah ke bawah seperti dahulu, serta harusnya ada perubahan harga dari harga mulai dari menjadi tiket paling murah yang tersedia sehingga lebih memudahkan percarian tiket sesuai kebutuhan."
188,"Ternyata tidak sepenuhnya memudahkan proses pengembapan, tetap diminta KTP untuk pengecekan. Apa gunanya kita mengisi data pribadi saat buat akun kalau hanya bikin ribet cek KTP? Aplikasi tidak berguna. DYY = + - DYY = + - Tambahan tampilan juga bikin ribet kalau mau pilih kereta, beda dengan aplikasi sebelumnya, jadi menyesal ditingkatkan ke Access kaidYY = + - DYY = + -"
575,"Aplikasi perbaruan terbaru bagus, tetapi saran aku baiknya harga-harga tiket yang sudah habis terjual, ditaruh paling bawah seperti aplikasi sebelumnya supaya enggak bingung. Kalau sekarang dikira masih ada tiketnya, ternyata tidak sesuai harapan."
244,"saran untuk para pengurus di KAI. ini zaman sudah modern segala hal digital sudah serba cepat. ini masa saya batal kan tiket, pengembalian dananya menunggu 30 - 45 hari? sekalian saja setahun baru transfer dananya."
81,"Aplikasinya kebanyakan fitur jembot, kebanyakan kreatif aplikasinya sampai enggak bisa dipakai"
318,Tampilan barunya malah bikin bingung
228,"1. Ribet. Jadwal yang habis tidak langsung bermain, tetapi harus dibuka dahulu baru muncul jam keberangkatan buat dilihat masih ada atau enggak. Enggak efisien mencari jam yang masih ada bangkunya. 2. Lemot. Lemot banget, selesai iai data diri mau pilih kursi memuatnya lama banget."
63,"Ini UI di diperbarui terbaru sangan menyenangkan, ada KA Lokal, Antar kota, KA bandara dan komputer yang terpisah menunya. Jadi kebih mudah, cepat dan juga railfood DYY = degdYY = deg"
250,Dalam proses pemesanan tiket lebih ribet dan memakan waktu yang lebih lama daripada versi yang dahulu
72,"Tujuannya apa, menampilkan promo, tetapi tidak, tersedia, lebih bagus dan mudah versi sebelumnya."
278,"Bagus nih, tampilan enak dilihat, tetapi di gua enggak lambat kok tampilannya, enteng juga aplikasinya enggak berat"
265,kaai acces saya sudah pesan tiket dan bayar pakai Qris dana memudahkan banget
576,"Mohon maaf setelah memperbarui akses menjadi lebih lambat, tidak seperti pada aplikasi sebelumnya. Saat memilih kursi timeout menunggu lama sekali. Menghabiskan banyak waktu"
174,"Ini bagaimana aplikasi barunya kok eror? Saya mau pesan tiket jadi enggak bisa, gara-gara tiap mau bayar selalu time tekan padahal baru saja di klik tiba-tiba sudah time tepat, sampai saya keluar dan copot ulang tetap enggak bisa, mau hapus akun saja sekalian juga enggak bisa, alasannya karena ada tiket perjalanan yang belum selesai padahal tidak ada sama sekali orang mau beli tiket baru saja enggak bisa kok. Bagaimana dong ini solusinya? jadi susah mau beli tiket harus menyuruh adik saya pakai akunnya"
257,"Pembaruan terbaru, tampilan terbaru, bukannya memperbaiki, malah mempersulit, tiket sudah habis untuk apa masih pada menongol. lebih suka tampilan yang lama, simpel dan tidak beribet"
529,"jadi makin ribet. Bagi orang-orang tua ini menyusahkan ya UI UX-nya, kalau dahulu lebih sederhana,"
336,Aplikasi terbaru kebanyakan menu
296,"Izin menyampaikan kendala saat saya melakukan pendaftaran anggota, tepatnya setelah mendapatkan kode saya menekan tombol lanjutkan tetapi malah enggak bisa, saya pikir masalah sinyal tetapi tetap enggak bisa alhasil saya susah buat beli tiket karena harus daftar anggota terlebih dahulu"
322,Sudah tidak ada kendala lagi buat pesan tiket kereta pakai aplikasi kai ini jadi makin mudah dan cepat
6,"Setelah memperbarui malah lambat, susah melakukan pemesanan, tolong diperbaiki"
104,Gara-gara memperbarui lambat banget
287,"Aplikasi sering eror aneh sudah perbarui malah rasanya kayak penurunan kelas sering bisa pembayaran melalui Qris sering gagal sudak isi ulang dana, tautan saja, OVO, tetap tidak bisa aneh banget Qrisnya sering gagal sampai uang habis cuma buat isi ulang aplikasi ""tersebut tatapi tidak berguna. Sama aplikasinya lambat banget badahal sinyal kencang telepon seluler juga spesifikasi lumayan. Aneh banget deh aplikasinya"
549,Sudah enggak lambat lagi mau pesan tiket lokal tiket antarkota semua pakai daring tetapi aplikasinya lancar parah enggak lambat. jadi makin memudahkan juga setelah diperbarui huhu suka.
442,"Kalau gue enggak butuh sama akses kereta ini malas banget deh pakai aplikasi ini, minggu-minggu ini memuat terus, eror terus mana orang tuh buru-buru, ini benar-benar bikin emosi, pas sampai stasiun disuruh ke loket, dari loket disuruh ke petugas depan benar menyebalkan banget sampai ketinggalan jadwal kereta dong mana lagi buru-buru, kalau orang enggak bisa beli diloket ya benarkan dong itu aplikasi, jangan mengerugikan waktu orang."
259,"Mudah buat cari dan pesan tiket, kemarin sudah transaksi Qris sukses tiket buat besok PP sangat memudahkan enggak perlu bingung-bingung lagi."
390,Makin memberikan kemudahan pelanggan diperbarui yang baru ini. Bintang 5 buat memperbarui dan terbarunya Kai sudah enggak lambat lagi jadi mantap terbaik lancar jaya. Lebih suka aplikasi terbaru ini karena mudah dimengerti oleh pelanggan / pengguna
220,"poin penting ulasan kai Access > Access BY KAI 1. Dari semua yang paling mencolok adalah fitur pemesanan opsi Railfood dan layanan lainnya seharusnya tidak perlu masuk, biarkan itu dipesan sendiri. Karena menurut saya jadi tidak efisien saat masa hari raya yang lalu lintas pemesanan tiket padat, apalagi jika dikejar waktu. 2. Kemudian pemilihan kursi, tampilan denah kursi terlalu besar sehingga harus gulir lama dan tidak ramah penggunaan, begitu kiga dengan opsi gerbong yang ada di bawah seperti itu."
598,"alhamdulillah jadi lebih mudah. lancar, dahulu susah banget kalau mau hapus surel (akun) karena sudah tidak aktif, sekarang kalau mau ganti nomor caranya sudah gampang banget. suka"
417,Setelah memperbarui tampilan lebih colour full lebih lengkap bahkan jadwal commuterline. suka dengan versi baru kai performanya meningkat jadi lebih cepat
86,"Makin di meningkatkan makin lancar pesan tiket juga makin mudah, tetapilannya juga lebih mordern suka banget lebih segar"
362,Tampilan baru. Bukan lebih mempermudah tetapi lebih mempersulit. Kasihan kalau orang awam untuk melakukan pemesanan lewat aplikasi kai access.
396,"Saya beli tiket 1 tetapi kok bayarnya dobel? Saya isi saldo Kai pay 30 ribu, harga tiket kereta api lokal 12.000, saya beli tiket untuk 1 orang saja. kok tiba-tiba saldo saya tinggal 6.000? Kok pembayaran bisa dobel begitu, tolong pihak KAI kejelasaannya"
248,"Lemot banget banget, setiap mau buka memuatnya lama padahal jaringan sudah bangus terus aplikasinya harus ditingkatkan. Setiap mau buka harus masukkan OTP-nya entah lewat surel / SMS, padahal sebelumnya pernah kasih OTP,"
184,"Setelah memperbarui aplikasi menjadi sangat lambat di semua fiturnya, terutama di fitur Tiket saya! Tiket yang sudah dibeli lama sekali prasmanannya menyebabkan kelamaan menunggu dipenukaran tiket / cetak pemboardan. Dan fitur kereta untuk membeli tiker antar kota pun demikian begitu lambat pertanya. Mungkin seharusnya dicoba terlebih dahulu di internal KAI jangan langsung main perbarui tetapi aplikasi belum bisa maksimal."
290,Tampilan memang bagus setelah diperbarui tetapi kulitas aplikasi lebih baik versi sebelumnya
